Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
13893844,1574000,984000,349,1.3919662e+09,0.061309196,229.6217,17977.549,67818.172,2469.0095,349135.66,534141.69,9156275,3.0963201e+11,0.59947962,1.2617848,0.19829546,1.7974312,5.6976185,0.59722245,0.86443418,2.6697898,4377,2.2899454
13893845,1574000,986000,324,1.2972378e+09,0.059027769,236.59196,17799.49,66703.938,2068.6699,291782.88,525516.69,8556728,2.9197199e+11,0.58653444,1.1829836,0.17532468,1.7913224,5.7527289,0.60299909,0.86537045,2.6537933,4377,2.2837687
13893846,1574000,988000,250,1.012377e+09,0.076683022,240.15359,19139.727,54662.375,1582.6189,248183.56,407311.31,6055874,1.8649599e+11,0.64870685,0.89385355,0.22893773,1.7598174,4.958611,0.51975989,0.8511433,2.9186471,4377,2.4735115
13959357,1576000,938000,5,21642180,0.29641753,118.79339,4237.3076,10371.747,195.21791,3701.894,30290.293,23871.33,1.4e+08,0.60000002,1.1666667,0.5,1.6032643,2.3837676,0.2498657,0.78732091,4.9910879,4377,3.5560994
13959363,1576000,950000,19,86250216,0.21044727,187.65613,3787.4675,21452.844,1026.3097,26162.191,71765.117,170887.72,1.948e+09,0.80116957,0.3329308,0.03846154,1.8915278,3.6161296,0.37904146,0.82240653,3.6309414,4377,2.7290983
13959366,1576000,956000,432,1.7298584e+09,0.044702068,173.80307,31655.238,163879.3,1563.7255,486178.16,697342.94,16728490,1.08168e+12,0.65184325,0.89320529,0.20234191,1.7469137,6.2624097,0.65642363,0.87371647,2.5191956,4377,2.2361588
13959367,1576000,958000,649,2.605641e+09,0.040440965,121.27103,8193.3828,159787.17,3495.5771,653512.06,899811.38,30981478,2.121196e+12,0.65550989,1.093298,0.1960725,1.5940578,8.1028614,0.84933907,0.90006292,2.1741316,4377,2.132319
13959368,1576000,960000,672,2.6875709e+09,0.04523344,80.304771,5473.9424,155689.69,5427.4287,521106.56,864082.25,32380194,2.2106761e+12,0.69233465,1.0946102,0.21145375,1.6513314,7.9345341,0.83169514,0.89785695,2.1990402,4377,2.0989304
13959369,1576000,962000,667,2.6651187e+09,0.051476482,40.576363,5229.0679,115611.74,6036.6943,463226.94,806601.06,31654502,2.102232e+12,0.71441305,1.0840338,0.23436402,1.8385988,7.1891727,0.75356662,0.88763404,2.3233547,4377,2.0320172
13959370,1576000,964000,657,2.6492047e+09,0.066993915,7.4327254,7078.7686,113434.61,4044.7646,368035.5,704928.44,31764018,2.139016e+12,0.73134071,1.0713905,0.22820424,1.8270469,7.2178397,0.75657147,0.88804191,2.3180988,4377,2.0384924
