Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
2359352,10000,8000,295,1.1788942e+09,0.12105879,336.59268,12658.518,84853.742,1365.3962,158589.06,349819.66,6907264,2.23864e+11,0.71091896,1.2828102,0.46974522,1.4835871,8.9936628,1.2703749,0.93058532,1.7771883,755,1.9077256
2359353,10000,10000,295,1.2262616e+09,0.1271468,328.2587,14196.924,86081.766,2774.7917,112545.98,348131.88,7056927,2.29952e+11,0.72023523,1.2624707,0.4689984,1.481738,9.0090361,1.2725464,0.93083483,1.7758621,755,1.9080217
2359354,10000,12000,295,1.229477e+09,0.13448986,321.68146,15380.773,83103.211,2241.8162,102960.67,338938.09,7238497,2.36256e+11,0.72796035,1.2479758,0.4689984,1.481738,9.0090361,1.2725464,0.93083483,1.7758621,755,1.9080217
2359355,10000,14000,263,1.0683085e+09,0.21559125,316.68442,22844.486,80630.219,526.10742,98084.734,249538.59,6722531,2.2716799e+11,0.81601024,0.99901289,0.46059546,1.5543965,7.8078313,1.1028736,0.91038829,1.8952254,755,1.9519188
2424873,12000,-22000,161,6.7292397e+08,0.3246195,102.78246,11632.112,41211.168,1191.3328,47518.305,161398.92,3276095.5,8.2540003e+10,0.71234471,0.71120673,0.30093458,1.4964477,6.4825168,0.91566992,0.88511509,2.0782495,755,2.1385961
2424874,12000,-20000,177,7.4209261e+08,0.33187839,95.258751,11002.115,41513.785,1835.361,49514.91,167627.2,3589634.8,8.9407996e+10,0.75622755,0.75988847,0.32838589,1.5162117,6.6460104,0.93876374,0.88841748,2.0517242,755,2.1023374
2424875,12000,-18000,211,8.8186438e+08,0.34362516,79.870483,11461.246,42969.203,2308.8538,51728.633,179582.23,4425857,1.12832e+11,0.8107425,0.87486595,0.39146566,1.5535313,6.9437237,0.98081642,0.89428777,2.0066314,755,2.0395813
2424876,12000,-16000,252,1.0369876e+09,0.3663604,65.520447,11225.34,42893.832,2782.3464,41182.352,188598.16,5287508.5,1.3284e+11,0.80829066,1.0308065,0.46666667,1.5750463,7.3504686,1.0382701,0.90203035,1.9509283,755,1.9840717
2424877,12000,-14000,261,1.0718052e+09,0.36688682,57.728535,9764.2256,41891.109,2558.7649,40023.523,191600.58,5299481.5,1.28532e+11,0.80530506,1.0652883,0.48333332,1.5767092,7.4439073,1.0514685,0.90376663,1.938992,755,1.974946
2424878,12000,-12000,269,1.1156187e+09,0.25082669,45.848938,8669.2637,43455.805,2403.5706,60350.98,236415.52,5319947.5,1.25528e+11,0.79501194,1.0960895,0.49357799,1.574841,7.5831456,1.0711362,0.90632612,1.9217507,755,1.9630948
