Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
1769479,-656,-524,102,410.76376,0.14534496,166.08232,17.457266,52.719067,0.75480199,86.017441,188.4521,1992.3108,59156,0.65424192,1.2379618,0.33663365,1.5755728,6.1039267,0.98316497,0.88444245,1.9949495,397,2.0015013
1769480,-656,-522,100,406.22684,0.16589282,174.79314,18.091688,52.723717,2.754802,74.246948,175.41852,1995.6401,64280,0.69131315,1.1463277,0.330033,1.5705584,6.0730987,0.97819948,0.88369381,2,397,2.0094793
1769481,-656,-520,114,434.01266,0.10046128,183.70445,12.36282,52.916389,2.6247947,135.43567,233.00046,2430.5342,80244,0.66247475,1.3224689,0.35294119,1.4572847,6.7554693,1.0881096,0.89971077,1.8989899,397,2.0277946
1769482,-656,-518,88,340.66501,0.10396006,202.12775,9.5962029,53.183628,0.62479639,95.988617,202.92494,1743.5452,53816,0.72126436,0.91084701,0.27586207,1.3991696,6.230433,1.0035415,0.88748872,1.9747474,397,2.1379302
1769488,-656,-506,53,214.79068,0.16395314,31.07007,2.6105855,32.194851,0.9439491,40.809181,128.30771,630.92334,10184,0.88896954,0.83963323,0.22844827,1.7010267,4.4952283,0.72405046,0.8413744,2.3510101,397,2.1557889
1769489,-656,-504,73,305.48148,0.075561129,216.37831,4.6734571,54.387848,1.2858416,108.14098,225.39702,1231.2087,33264,0.59855402,1.1769646,0.212828,1.2206584,6.3791699,1.0274987,0.89101821,1.9520202,397,2.2773867
1835015,-654,-524,101,410.33212,0.17772815,166.89116,19.143415,54.711792,0.75480199,60.500332,170.33134,2126.4932,66316,0.65089107,1.2125164,0.33223686,1.5700537,6.1039267,0.98316497,0.88444245,1.9949495,397,2.0059724
1835016,-654,-522,101,413.90649,0.17997609,173.85727,19.488255,54.717915,2.711947,60.399143,169.99989,2131.7026,70940,0.6641584,1.2073737,0.33223686,1.5700537,6.1039267,0.98316497,0.88444245,1.9949495,397,2.0059724
1835017,-654,-520,117,450.78998,0.10304266,179.75797,14.227959,54.903587,2.7298625,124.44667,234.46797,2540.3406,84580,0.62157381,1.4304643,0.33428571,1.3365537,7.3771386,1.1882423,0.91339767,1.8232323,397,2.0680385
1835018,-654,-518,100,398.09735,0.094725929,191.26614,10.00066,55.161201,1.3660654,99.91568,229.808,1905.7563,58144,0.60242426,1.281353,0.28653294,1.2932341,6.9911256,1.1260669,0.90499282,1.8686869,397,2.1442528
1835019,-654,-516,27,116.15664,0.32088625,92.42939,0.69483012,14.36854,1.2135162,22.174429,67.445259,175.3045,1372,0.87464386,0.51281226,0.13636364,1.6124375,4.0015759,0.64453745,0.826078,2.5176768,397,2.3414638
1835020,-654,-514,24,101.69638,0.35558167,344.87994,0.55467522,12.628536,1.2108594,19.38365,59.949837,150.90755,1136,0.95289856,0.47986093,0.12631579,1.5914288,3.9296522,0.63295263,0.82374305,2.5454545,397,2.377661
1835021,-654,-512,23,99.6745,0.35512328,292.75793,1.7453014,13.076642,1.2082026,19.29554,59.389191,152.46979,1264,0.97628456,0.46927744,0.12105263,1.5843171,3.9232416,0.6319201,0.82353354,2.5479798,397,2.3853695
1835022,-654,-510,25,102.64356,0.33504552,285.24622,3.09536,14.998014,1.2055459,20.366108,62.046726,179.67995,1668,0.8433333,0.50901735,0.12376238,1.5859854,4.0283871,0.64885598,0.82694101,2.5075758,397,2.3574181
1835023,-654,-508,33,126.23128,0.24423869,298.36716,3.4383502,16.969374,1.2028891,28.588493,80.590004,260.73199,2708,0.64583331,0.65484387,0.15566038,1.634885,4.1536222,0.66902763,0.83092082,2.4621212,397,2.2856822
1835024,-654,-506,67,275.00214,0.1399561,282.82144,1.574632,30.249031,1.5286007,45.803925,157.13649,793.17651,12252,0.63048393,1.1670043,0.23103449,1.6320726,5.1942701,0.83664578,0.86118829,2.1691918,397,2.0895975
1835025,-654,-504,79,330.76682,0.07694827,229.93915,5.2125373,56.069454,1.324665,99.285271,232.41623,1260.7672,31352,0.53424215,1.3076829,0.22701149,1.2181664,6.5708938,1.0583798,0.8954882,1.9242424,397,2.2571299
1900551,-652,-524,100,403.83121,0.18298195,168.35698,21.192667,56.70517,0.69411182,59.283947,166.53317,2260.3923,73740,0.65676767,1.1942356,0.32894737,1.5675014,6.0884738,0.98067594,0.88406748,1.9974748,397,2.0100088
1900552,-652,-522,98,406.75446,0.18583536,174.57237,21.595213,56.712521,0.71202731,59.403564,165.84673,2214.3564,76140,0.67136544,1.1711645,0.32236841,1.5622333,6.0578012,0.97573555,0.88332134,2.0025253,397,2.0182312
1900553,-652,-520,106,403.10852,0.13815649,180.39316,20.376793,56.891685,0.72994274,92.733894,191.48303,2395.9165,84832,0.67044026,1.2399001,0.33544305,1.4638883,6.4823375,1.0441159,0.89343441,1.9368687,397,2.0529761
