Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
2490387,3162000,786000,139,5.4312461e+08,0.34428129,96.156227,19417.633,38469.707,150.61461,69886.914,140798.48,2889022.8,7.1164002e+10,0.83286417,0.77790529,0.28024194,1.8308828,4.5323749,0.57367045,0.84011656,2.7298682,1367,2.3021362
2490388,3162000,788000,162,6.5328102e+08,0.2053484,95.983948,18810.299,60894.75,1964.6482,111826.92,199944.42,3327580.8,8.0796e+10,0.8509317,0.80289292,0.29401088,1.6193095,5.080646,0.64306605,0.8526513,2.5431919,1367,2.3662825
2490389,3162000,790000,184,7.3738042e+08,0.2383353,94.858833,17321.449,58418.18,1960.3035,96705.195,197177.12,3682560,9.1311997e+10,0.83992636,0.79984891,0.30016312,1.5980556,5.3765068,0.68051368,0.85900396,2.4582722,1367,2.3291278
2490390,3162000,792000,204,8.1351891e+08,0.25501561,94.132607,15022.482,55953.656,2257.7163,88887.477,200219.03,3781918.5,8.9400001e+10,0.84270263,0.84396785,0.33224756,1.6148425,5.4337907,0.68776417,0.86020404,2.442899,1367,2.3075504
2490391,3162000,794000,226,8.9195296e+08,0.18927439,96.736145,12611.927,53478.141,2592.7583,112963.84,243349.23,3914170,8.694e+10,0.81647986,0.95935684,0.29658791,1.6023926,6.0372052,0.76413935,0.87231243,2.2986822,1367,2.2114592
2490392,3162000,796000,253,9.9823667e+08,0.18216671,98.267326,9658.998,51026.062,3739.4097,97180.844,262414.09,4277682,9.334e+10,0.7726959,1.0886673,0.31625,1.6141576,6.2815261,0.79506344,0.87696296,2.2481699,1367,2.1657791
2490393,3162000,798000,268,1.0491885e+09,0.1737334,94.362999,7060.5381,48604.816,5407.6963,91980.906,275479.97,4388464.5,9.3492003e+10,0.75392699,1.1586832,0.33500001,1.6256636,6.3372793,0.80212021,0.87800562,2.2371888,1367,2.1496639
2490394,3162000,800000,267,1.0804207e+09,0.10536627,78.695564,4541.605,72500.242,7183.7734,180535.62,358963.75,4318189,9.7928004e+10,0.75801861,1.1022493,0.2864807,1.5929635,6.8697896,0.86952096,0.88764149,2.1412885,1367,2.0986569
2490395,3162000,802000,286,1.1432541e+09,0.085001752,12.534537,3745.4277,75986.508,8959.8506,219672.8,411114.09,5251977.5,1.5428e+11,0.68754756,1.1624286,0.26166514,1.3987947,7.8982315,0.99969262,0.90481091,1.9926794,1367,2.1515858
2490396,3162000,804000,301,1.2058917e+09,0.10169344,334.45377,6569.4058,77128.07,10589.42,189398.58,386022.5,6069689,2.0583599e+11,0.6609745,1.2016027,0.28449905,1.4560856,7.7777791,0.98444676,0.90288699,2.0080528,1367,2.1144574
