Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
7864353,180000,12000,183,7.4643482e+08,0.27282888,56.615757,2490.2876,35362.43,1925.8584,22994.516,185419.62,2481957,4.2216002e+10,0.79343063,1.3282466,0.55792683,0.9897148,13.175597,2.2127948,1.024938,1.440367,328,2.0279989
7864354,180000,14000,159,6.5223974e+08,0.5310269,3.788996,4395.3003,29463.629,1676.6365,14527.027,124236.81,1981562.5,2.8884001e+10,0.97364861,0.97196841,0.73271888,1.4742377,6.8003082,1.1420876,0.90455669,1.853211,328,2.0431643
7864355,180000,16000,156,6.348528e+08,0.53603786,341.3244,4894.5479,27293.461,1553.1848,19504.48,121995.47,1987684,2.9348e+10,0.98320925,0.94774431,0.718894,1.4873476,6.7279644,1.1299378,0.90284193,1.8623853,328,2.0363972
7864356,180000,18000,153,6.1472224e+08,0.5336383,326.88293,5919.0742,25192.395,1429.7333,25437.396,120315.31,2001707.6,3.0631999e+10,0.98856211,0.9260307,0.70506912,1.4995409,6.6571436,1.1180437,0.90115172,1.8715596,328,2.0304816
7864357,180000,20000,147,6.0043008e+08,0.54730272,316.32904,7161.8184,26940.646,1306.2816,24595.906,117414.66,1972010.8,3.152e+10,0.99534059,0.88625139,0.67741936,1.5212808,6.5198832,1.0949912,0.89784241,1.8899083,328,2.0211027
7864358,180000,22000,145,5.9214598e+08,0.55771297,307.9845,8606.4502,28762.535,1182.83,24035.16,115508.51,2022980.2,3.4452001e+10,0.99837166,0.87262183,0.66820276,1.5277675,6.475379,1.0875169,0.89675975,1.8960245,328,2.0186789
7864359,180000,24000,144,5.8666829e+08,0.56658983,301.7211,10207.043,30606.672,1059.3784,23597.508,114068.8,2116711.5,3.882e+10,0.99893165,0.86620456,0.66359448,1.5308717,6.4533539,1.0838178,0.89622217,1.8990825,328,2.0175958
7864360,180000,26000,142,5.8274342e+08,0.57440305,297.01541,11914.521,32469.268,935.92676,23238.148,112910.74,2199767.8,4.3131998e+10,0.9999001,0.85348827,0.65437788,1.5368049,6.40975,1.0764948,0.89515436,1.9051988,328,2.0156829
7864361,180000,28000,142,5.7980032e+08,0.58110267,293.41779,13693.605,34347.32,812.4751,22947.223,111974.13,2362413,5.0079998e+10,0.9999001,0.85348827,0.65437788,1.5368049,6.40975,1.0764948,0.89515436,1.9051988,328,2.0156829
7864362,180000,30000,142,5.7762125e+08,0.58584446,290.60754,15518.166,36238.422,689.0235,22741.463,111310.3,2549281.8,5.8171998e+10,0.9999001,0.85348827,0.65437788,1.5368049,6.40975,1.0764948,0.89515436,1.9051988,328,2.0156829
7864363,180000,32000,142,5.769351e+08,0.57979977,288.36258,17340.732,38140.637,565.5719,22904.461,111822.55,2759184.2,6.7407999e+10,0.9999001,0.85348827,0.65437788,1.5368049,6.40975,1.0764948,0.89515436,1.9051988,328,2.0156829
7864364,180000,34000,164,6.7119859e+08,0.26965865,277.78967,15727.436,40052.383,1078.3015,33881.641,176857.42,3326735,8.4848001e+10,0.77584916,1.4033539,0.5,0.99999326,11.639791,1.9548616,1,1.4984709,328,2.0775566
7929881,182000,-4000,167,6.7382752e+08,0.40446091,82.909218,18735.645,53017.277,371.24432,19080.209,144690.84,3314293,8.7264002e+10,0.93189526,1.0552875,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7929882,182000,-2000,167,6.7335891e+08,0.41048077,82.119057,16709.283,50265.016,2371.2444,18462.953,143576,3041143.8,7.5567997e+10,0.93189526,1.0552875,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7929883,182000,0,166,6.7311104e+08,0.41504541,81.124672,14687.886,47548.277,4371.2441,17982.324,142758.02,2751576,6.3135998e+10,0.93844467,1.041167,0.76497698,1.4399067,6.975316,1.1714796,0.90865684,1.8318043,328,2.0624399
7929884,182000,2000,166,6.7322899e+08,0.4170076,79.842918,12672.062,44867.09,6371.2441,17734.301,142434.22,2541520,5.43e+10,0.93844467,1.041167,0.76497698,1.4399067,6.975316,1.1714796,0.90865684,1.8318043,328,2.0624399
7929885,182000,4000,166,6.7406323e+08,0.41370785,78.153145,10661.807,42221.883,8371.2441,17958.695,143089.7,2365089.8,4.6799999e+10,0.93844467,1.041167,0.76497698,1.4399067,6.975316,1.1714796,0.90865684,1.8318043,328,2.0624399
7929886,182000,6000,167,6.767239e+08,0.39744464,75.944832,8651.7051,39613.574,7762.6577,19429.385,146275.77,2236736,4.0816001e+10,0.93009162,1.0578697,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7929887,182000,8000,167,6.8754362e+08,0.33387238,74.291069,6578.9307,37043.691,6089.4512,26584.219,160866.2,2107947.8,3.488e+10,0.92662865,1.0659832,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7929888,182000,10000,185,7.4877894e+08,0.26239711,98.010284,4210.8203,37510.656,4680.1685,24829.248,189366.09,2536550,4.5939999e+10,0.78795534,1.3469785,0.56402439,0.98749036,13.361169,2.2439609,1.0278305,1.4342507,328,2.0237305
7929889,182000,12000,184,7.480809e+08,0.26566273,105.6747,2220.4141,37361.648,3837.5166,24202.531,188110.88,2473466.5,4.3095998e+10,0.79104298,1.3370482,0.56097561,0.98863,13.267735,2.2282689,1.0263771,1.4373089,328,2.0258422
7929890,182000,14000,162,6.5987686e+08,0.47888553,7.9124508,2331.7729,29593.283,3672.8228,17094.588,131589.28,1933442.9,2.7655999e+10,0.96027911,0.99933738,0.74654377,1.4601811,6.8742247,1.1545017,0.90629661,1.8440367,328,2.0508125
7929891,182000,16000,159,6.5099418e+08,0.52133,325.62466,2936.5999,27212.492,3549.3711,15635.862,125267.13,1920681.1,2.7467999e+10,0.97364861,0.97196841,0.73271888,1.4742377,6.8003082,1.1420876,0.90455669,1.853211,328,2.0431643
7929892,182000,18000,157,6.4266982e+08,0.52944505,305.00272,4412.0762,24896.398,3425.9194,17510.346,123506.11,1957708.8,2.9236001e+10,0.98064673,0.95559758,0.72350228,1.4830809,6.7519073,1.1339589,0.90341073,1.8593272,328,2.0385568
7929893,182000,20000,156,6.3381306e+08,0.53420484,295.60205,6136.3379,26277.344,3302.4678,19940.197,122104.49,2026119.4,3.2207999e+10,0.98320925,0.94774431,0.718894,1.4873476,6.7279644,1.1299378,0.90284193,1.8623853,328,2.0363972
7929894,182000,22000,154,6.2436992e+08,0.53651309,290.62628,7915.3804,28142.205,3179.0164,22811.486,120930.48,2101308.2,3.6024001e+10,0.98701298,0.9331153,0.7096774,1.4955766,6.6805844,1.1219804,0.90171242,1.8685015,328,2.0323606
7929895,182000,24000,152,6.1447507e+08,0.54011613,287.66754,9686.7227,29921.314,3055.5647,24867.949,119567.59,2192875.2,4.0691999e+10,0.99050194,0.91894549,0.70046085,1.5034063,6.6338673,1.1141344,0.90059364,1.8746177,328,2.0286942
7929896,182000,26000,148,6.0671968e+08,0.54939479,285.41678,11489.097,31817.049,2932.113,24280.867,117803.1,2260723,4.5212e+10,0.99540359,0.89254439,0.68202764,1.5178969,6.5423656,1.098767,0.89838749,1.8868501,328,2.0224442
7929897,182000,28000,146,6.0122061e+08,0.55453598,283.58478,13325.256,33731.434,2808.6614,23943.248,116723.15,2380972.8,5.1123999e+10,0.99754369,0.87916261,0.67281103,1.5245708,6.4975548,1.0912412,0.89729983,1.8929664,328,2.0198479
7929898,182000,30000,146,5.9785862e+08,0.54951823,282.07755,15163.353,35655.219,2685.2097,24137.057,116926.55,2580408.5,5.9696001e+10,0.99754369,0.87916261,0.67281103,1.5245708,6.4975548,1.0912412,0.89729983,1.8929664,328,2.0198479
7929899,182000,32000,148,6.0189286e+08,0.47559777,280.62213,16793.979,37586.961,2561.7581,28639.836,126108.58,2794165.8,6.8659999e+10,0.96423978,0.94176561,0.68202764,1.5178969,6.5423656,1.098767,0.89838749,1.8868501,328,2.0224442
7929900,182000,34000,168,6.8495712e+08,0.26959127,270.11804,15932.941,39525.492,1748.0527,34094.195,178683.19,3423909.8,8.8472003e+10,0.77865696,1.4279817,0.51219511,0.99945349,11.932616,2.0040405,1.0049016,1.4862385,328,2.0657737
7995417,184000,-4000,168,6.8003034e+08,0.35888472,88.862686,18839.373,56902.359,371.24432,23687.299,154309.12,3356350.2,8.8951996e+10,0.92479324,1.0717165,0.77419353,1.4290866,7.0269852,1.1801572,0.90985465,1.8256881,328,2.0688925
7995418,184000,-2000,168,6.7922106e+08,0.36374226,88.827332,16773.213,54056.086,2371.2444,23084.174,153184.08,3080405.8,7.7059998e+10,0.92479324,1.0717165,0.77419353,1.4290866,7.0269852,1.1801572,0.90985465,1.8256881,328,2.0688925
7995419,184000,0,167,6.7870842e+08,0.36999127,88.79837,14710.211,50922.605,4371.2441,22330.24,151827.62,2786076.5,6.4304001e+10,0.93189526,1.0552875,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7995420,184000,2000,167,6.7868493e+08,0.37328231,88.797714,12649.808,47848.191,6371.2441,21905.924,151154.23,2572166.2,5.5296e+10,0.93189526,1.0552875,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7995421,184000,4000,167,6.7960518e+08,0.37063029,88.901199,10590.163,44830.633,7984.6533,22126.48,151796.86,2391261.8,4.7631999e+10,0.93189526,1.0552875,0.76958525,1.4345549,7.0010552,1.1758024,0.90925425,1.8287462,328,2.0656116
7995422,184000,6000,168,6.8294714e+08,0.35344797,89.448257,8526.7324,41868.305,8108.105,24026.129,155824.5,2259628.5,4.1543999e+10,0.92365271,1.0719898,0.77419353,1.4290866,7.0269852,1.1801572,0.90985465,1.8256881,328,2.0688925
7995423,184000,8000,171,6.9769478e+08,0.28360242,93.54464,6454.7036,38960.242,7489.9277,33900.703,175825.84,2199615,3.7296001e+10,0.89480567,1.1438011,0.78082192,1.4196589,7.1595697,1.2024243,0.91290265,1.8103975,328,2.064733
7995424,184000,10000,186,7.5162906e+08,0.25046769,120.71946,4969.4536,39485.434,6396.9976,27119.523,194191.8,2584124.8,4.8407998e+10,0.78413254,1.3585019,0.56707317,0.98629582,13.455929,2.2598755,1.0292983,1.4311926,328,2.0216646
7995425,184000,12000,186,7.5067098e+08,0.25469637,138.90215,3392.3735,39360.969,5808.9707,26241.049,192450.19,2540495.8,4.6116e+10,0.78413254,1.3585019,0.56707317,0.98629582,13.455929,2.2598755,1.0292983,1.4311926,328,2.0216646
7995426,184000,14000,163,6.6677958e+08,0.41833547,57.016136,468.39731,30564.896,5669.0093,21822.139,141525.19,1918144,2.7335999e+10,0.95554042,1.0092763,0.7511521,1.4552795,6.8992219,1.1586999,0.90688229,1.8409786,328,2.0535634
7995427,184000,16000,162,6.5736922e+08,0.49331734,283.52338,1644.8043,27883.246,5545.5576,16203.778,129403.62,1934346.8,2.7855999e+10,0.96043247,1.0004665,0.74654377,1.4601811,6.8742247,1.1545017,0.90629661,1.8440367,328,2.0508125
7995428,184000,18000,160,6.5180422e+08,0.50580519,276.98846,3626.4463,25304.465,5422.106,16682.336,127254.12,1956223.9,2.9195999e+10,0.9697327,0.98077971,0.73732722,1.469659,6.8247695,1.1461959,0.90513384,1.8501529,328,2.0456142
7995429,184000,20000,157,6.4609709e+08,0.51578641,275.14545,5607.3198,27088.76,5298.6543,17546.559,125463.92,1989438.5,3.1516e+10,0.98064673,0.95559758,0.72350228,1.4830809,6.7519073,1.1339589,0.90341073,1.8593272,328,2.0385568
7995430,184000,22000,157,6.4025606e+08,0.52353418,274.31497,7573.6504,28901.312,5175.2026,18721.148,123967.91,2100408,3.6011999e+10,0.98064673,0.95559758,0.72350228,1.4830809,6.7519073,1.1339589,0.90341073,1.8593272,328,2.0385568
7995431,184000,24000,156,6.3431155e+08,0.52883142,273.86737,9519.752,30737.125,5051.751,20185.289,122771.51,2218564,4.1348002e+10,0.98320925,0.94774425,0.718894,1.4873476,6.7279644,1.1299378,0.90284193,1.8623853,328,2.0363972
7995432,184000,26000,153,6.2835104e+08,0.53065962,273.60373,11438.849,32592.268,4928.2993,21980.072,121982.66,2323489,4.7080002e+10,0.98890609,0.92603064,0.70506912,1.4995409,6.6571436,1.1180437,0.90115172,1.8715596,328,2.0304816
7995433,184000,28000,152,6.2264211e+08,0.52593547,273.43335,13317.888,34463.617,4804.8477,24282.004,121971.38,2484824,5.4384001e+10,0.99050194,0.91894543,0.70046085,1.5034063,6.6338673,1.1141344,0.90059364,1.8746177,328,2.0286942
7995434,184000,30000,153,6.1848928e+08,0.50635713,273.25229,15121.223,36242.613,4681.396,26581.367,123891.8,2708342,6.3687999e+10,0.97970414,0.94026506,0.70506912,1.4995409,6.6571436,1.1180437,0.90115172,1.8715596,328,2.0304816
7995435,184000,32000,156,6.2998317e+08,0.37187946,272.04498,16456.906,37968.73,3620.7874,37676.027,145904.38,2933402.8,7.2663998e+10,0.91786599,1.0805107,0.718894,1.4873476,6.7279644,1.1299378,0.90284193,1.8623853,328,2.0363972
7995436,184000,34000,171,6.9876883e+08,0.26894179,262.69904,16401.195,39758.93,1624.6011,34459.34,180693.52,3526104.2,9.2519997e+10,0.77936018,1.4478688,0.52134144,0.99848163,12.162089,2.0425799,1.0086921,1.4770643,328,2.0574083
8060953,186000,-4000,170,6.880265e+08,0.3552283,94.607941,19228.154,56551.258,371.24432,23937.455,156010.47,3493379.2,9.5095996e+10,0.90991992,1.1099683,0.78341013,1.4177938,7.0794253,1.1889644,0.91106457,1.8195719,328,2.075788
8060954,186000,-2000,170,6.8766662e+08,0.35162798,95.24913,17187.146,54577.434,2371.2444,24312.252,156766.11,3215456.2,8.2788e+10,0.90991992,1.1099683,0.78341013,1.4177938,7.0794253,1.1889644,0.91106457,1.8195719,328,2.075788
8060955,186000,0,169,6.8747955e+08,0.3464815,96.09568,15143.15,52605.582,4371.2441,24877.516,157904.61,2914710,6.9284004e+10,0.91744155,1.0899336,0.77880186,1.4235002,7.0531077,1.1845444,0.91045809,1.8226299,328,2.072284
8060956,186000,2000,169,6.8767802e+08,0.33861718,97.270706,13096.907,50635.941,5865.0156,25796.326,159750.78,2696916,5.9908002e+10,0.91744155,1.0899336,0.77880186,1.4235002,7.0531077,1.1845444,0.91045809,1.8226299,328,2.072284
8060957,186000,4000,170,6.8881197e+08,0.32534793,99.03669,11051.371,48668.777,5988.4673,27472.957,163110.25,2528935.2,5.2211999e+10,0.90943265,1.106635,0.78341013,1.4177938,7.0794253,1.1889644,0.91106457,1.8195719,328,2.075788
8060958,186000,6000,170,6.927591e+08,0.29890257,102.14561,9020.2275,46704.398,6111.9189,31248.57,170659.8,2351533.2,4.406e+10,0.90810996,1.108061,0.78341013,1.4177938,7.0794253,1.1889644,0.91106457,1.8195719,328,2.075788
8060959,186000,8000,176,7.1477088e+08,0.21584888,112.33606,7224.4541,43624.332,6235.3701,54748.043,203992.16,2402421.8,4.3812e+10,0.85805196,1.2247317,0.55000001,1.1338148,11.932616,2.0040405,1.0049016,1.4862385,328,1.9415662
8060960,186000,10000,187,7.5707782e+08,0.22954279,134.81122,6313.7871,41463.629,6358.8218,31698.861,203583.86,2683246.8,5.2423999e+10,0.77948362,1.3726151,0.57012194,0.98504627,13.552043,2.2760174,1.0307808,1.4281346,328,2.019644
8060961,186000,12000,187,7.5550643e+08,0.23561412,151.71512,5085.373,41360.375,6482.2734,30259.174,200735.12,2633832.5,4.9999999e+10,0.77948362,1.3726151,0.57012194,0.98504627,13.552043,2.2760174,1.0307808,1.4281346,328,2.019644
8060962,186000,14000,165,6.7494899e+08,0.35753489,162.78665,1854.0552,33367.469,6605.7251,27879.264,154021.44,1972230.9,2.874e+10,0.94478935,1.0300193,0.76036865,1.4451437,6.9497657,1.1671884,0.90806234,1.8348624,328,2.0593758
8060963,186000,16000,163,6.6339578e+08,0.44030833,222.29359,2167.2122,30143.43,6729.1768,19821.074,137598.23,1968574.2,2.8967999e+10,0.95470726,1.0119985,0.7511521,1.4552795,6.8992219,1.1586999,0.90688229,1.8409786,328,2.0535634
8060964,186000,18000,162,6.5854438e+08,0.46573839,245.75912,3826.6631,27013.568,6852.6284,18448.859,133298.86,2003271.2,3.0552001e+10,0.95912892,1.002252,0.74654377,1.4601811,6.8742247,1.1545017,0.90629661,1.8440367,328,2.0508125
8060965,186000,20000,161,6.5389747e+08,0.48038512,254.38869,5720.0151,28019.691,6976.0801,18359.412,130787.12,2057468.8,3.3072001e+10,0.96490681,0.99071944,0.74193549,1.4649738,6.8494077,1.1503338,0.9057138,1.8470948,328,2.0481632
8060966,186000,22000,159,6.4930426e+08,0.49289399,258.67624,7664.1235,29775.629,7099.5317,18569.99,128662.59,2132227.5,3.6956e+10,0.97325051,0.97196841,0.73271888,1.4742377,6.8003082,1.1420876,0.90455669,1.853211,328,2.0431643
8060967,186000,24000,157,6.4482822e+08,0.50256729,261.21628,9616.9365,31560.625,7047.937,19088.332,126978.39,2234308.5,4.2084e+10,0.98064673,0.95559758,0.72350228,1.4830809,6.7519073,1.1339589,0.90341073,1.8593272,328,2.0385568
8060968,186000,26000,156,6.4062285e+08,0.50765103,262.88263,11559.751,33370.016,6924.4858,19999.41,125928.34,2376219.2,4.8563999e+10,0.98320925,0.94774425,0.718894,1.4873476,6.7279644,1.1299378,0.90284193,1.8623853,328,2.0363972
8060969,186000,28000,157,6.371264e+08,0.50335854,264.02615,13472.284,35200.043,6801.0342,21600.875,126118.55,2579924,5.6932e+10,0.97272581,0.96906161,0.72350228,1.4830809,6.7519073,1.1339589,0.90341073,1.8593272,328,2.0385568
8060970,186000,30000,156,6.361383e+08,0.4724161,264.71826,15294.887,37047.645,5493.522,25163.754,130082.34,2754683,6.5092002e+10,0.95657569,0.99516022,0.718894,1.4873476,6.7279644,1.1299378,0.90284193,1.8623853,328,2.0363972
