Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
5373998,188,976,310,1255.4551,0.28033972,155.64078,17.972929,56.856339,2.8082445,100.64703,237.2265,7002.9038,202460,0.87913144,0.6092518,0.26182431,1.728417,5.4381332,0.59599179,0.85968065,2.671875,3265,2.3489206
5373999,188,978,257,1039.2731,0.32760713,175.04631,15.40112,48.856396,0.80827242,85.536713,199.66093,5188.6865,128380,0.91354573,0.49811837,0.22367276,1.6917213,5.3518295,0.58653331,0.85808533,2.6988358,3265,2.3943765
5374002,188,984,265,1053.3982,0.34697637,172.71109,15.133117,51.446445,1.8834484,77.305016,195.32205,5086.3936,121380,0.88630646,0.56902391,0.22534014,1.7036523,5.3858247,0.59025902,0.85871607,2.6881127,3265,2.3773451
5374003,188,986,273,1083.166,0.43877125,187.33005,14.344337,39.201962,3.882652,57.525238,176.13,5090.1455,115832,0.91095668,0.57063776,0.23759791,1.7002342,5.3673167,0.58823061,0.85837311,2.6939337,3265,2.3851092
5374004,188,988,272,1088.5226,0.45137638,199.16847,14.557895,37.837746,5.2180576,57.270008,174.08215,5102.4868,116116,0.92069131,0.56891209,0.23776224,1.6982318,5.3614984,0.58759296,0.85826504,2.6957722,3265,2.3880317
5374005,188,990,269,1077.3417,0.46514517,209.76489,15.307931,36.083252,3.2631412,56.803925,170.60329,5163.0459,119516,0.92603892,0.56803137,0.23617208,1.6958336,5.3527946,0.58663911,0.85810328,2.6985295,3265,2.3917148
5374006,188,992,266,1057.9299,0.4911626,218.88161,16.489826,38.232464,1.3394662,56.958351,164.52078,5317.5767,127248,0.9286707,0.56569225,0.2335382,1.6942689,5.3498998,0.58632183,0.85804945,2.6994486,3265,2.3934197
5374033,188,1046,384,1541.3169,0.11433543,156.84819,44.093754,117.82446,0.408328,293.8248,411.58591,17279.363,1045164,0.74859935,0.45847329,0.14843448,1.2950255,8.2273064,0.90167093,0.90313607,2.1050858,3265,2.3301587
5374034,188,1048,445,1780.9373,0.11247166,161.85509,44.366344,119.49946,2.4083281,309.1994,446.0748,20588.955,1327732,0.70893818,0.53838271,0.16475379,1.2040575,8.766881,0.96080565,0.91019511,2.037071,3265,2.3596554
5374035,188,1050,484,1907.2194,0.093496412,165.81909,47.534603,121.68369,3.3827636,358.88007,506.29984,24091.557,1681244,0.67608613,0.59022582,0.17454021,1.1848432,9.0641088,0.99338031,0.9139446,2.0030637,3265,2.3503103
